datetime,sql_file,db_file,csv_file,elapsed_sec
2025-06-17 10:20,3G_carrier_config.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_carrier_config.csv,0.109
2025-06-17 10:20,3G_Check_No_Carrier.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Check_No_Carrier.csv,0.53
2025-06-17 10:20,3G_CS_Traffic.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_CS_Traffic.csv,2.537
2025-06-17 10:20,3G_Physical_Site_by_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_Physical_Site_by_Province.csv,0.047
2025-06-17 10:20,3G_Physical_Site_by_Zone.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_Physical_Site_by_Zone.csv,0.031
2025-06-17 10:20,3G_Site_config.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_Site_config.csv,0.047
2025-06-17 10:20,3G_Traffic_By_Layer.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_Traffic_By_Layer.csv,0.828
2025-06-17 10:20,3G_Traffic_Cap.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Traffic_Cap.csv,0.25
2025-06-17 10:20,3G_Traffic_Compare.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Traffic_Compare.csv,0.062
2025-06-17 10:20,3G_User_TP_Nation.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_User_TP_Nation.csv,0.359
2025-06-17 10:20,3G_User_TP_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_User_TP_Province.csv,1.906
2025-06-17 10:20,3G_User_TP_Zone.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_User_TP_Zone.csv,1.297
2025-06-17 10:20,3G_Utilization_Nation.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Utilization_Nation.csv,0.328
2025-06-17 10:20,3G_Utilization_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Utilization_Province.csv,0.312
2025-06-17 10:20,3G_Utilization_Region.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Utilization_Region.csv,0.329
2025-06-17 10:20,3G_Utilization_Zone.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Utilization_Zone.csv,0.312
2025-06-17 10:21,4G_carrier_config.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_carrier_config.csv,44.818
2025-06-17 10:21,4G_Check_No_Carrier.sql,c:\Bac.DX\SQLite\DataBase\2025_4G site traffic Utilization.db3,4G_Check_No_Carrier.csv,0.515
2025-06-17 10:21,4G_Physical_Site_by_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_Physical_Site_by_Province.csv,0.031
2025-06-17 10:21,4G_Physical_Site_by_Zone.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_Physical_Site_by_Zone.csv,0.016
2025-06-17 10:22,4G_Site_config.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_Site_config.csv,43.631
2025-06-17 10:22,4G_Traffic_By_Layer.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_Traffic_By_Layer.csv,6.576
2025-06-17 10:22,4G_Traffic_Cap.sql,c:\Bac.DX\SQLite\DataBase\2025_4G site traffic Utilization.db3,4G_Traffic_Cap.csv,0.203
2025-06-17 10:22,4G_Traffic_Compare.sql,c:\Bac.DX\SQLite\DataBase\2025_4G site traffic Utilization.db3,4G_Traffic_Compare.csv,0.047
2025-06-17 10:22,4G_User_TP_Nation.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_User_TP_Nation.csv,1.126
2025-06-17 10:22,4G_User_TP_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_User_TP_Province.csv,1.984
2025-06-17 10:22,4G_User_TP_Zone.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_User_TP_Zone.csv,0.828
2025-06-17 10:22,4G_Utilization_Nation.sql,c:\Bac.DX\SQLite\DataBase\2025_4G site traffic Utilization.db3,4G_Utilization_Nation.csv,0.234
2025-06-17 10:22,4G_Utilization_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_4G site traffic Utilization.db3,4G_Utilization_Province.csv,0.25
2025-06-17 10:22,4G_Utilization_Region.sql,c:\Bac.DX\SQLite\DataBase\2025_4G site traffic Utilization.db3,4G_Utilization_Region.csv,0.219
2025-06-17 10:22,4G_Utilization_Zone.sql,c:\Bac.DX\SQLite\DataBase\2025_4G site traffic Utilization.db3,4G_Utilization_Zone.csv,0.219
2025-06-18 11:33,3G_carrier_config.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_carrier_config.csv,0.031
2025-06-18 11:33,3G_Check_No_Carrier.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Check_No_Carrier.csv,0.785
2025-06-18 11:33,3G_CS_Traffic.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_CS_Traffic.csv,2.067
2025-06-18 11:33,3G_Physical_Site_by_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_Physical_Site_by_Province.csv,0.078
2025-06-18 11:33,3G_Physical_Site_by_Zone.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_Physical_Site_by_Zone.csv,0.031
2025-06-18 11:33,3G_Site_config.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_Site_config.csv,0.094
2025-06-18 11:33,3G_Traffic_By_Layer.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_Traffic_By_Layer.csv,1.016
2025-06-18 11:33,3G_Traffic_Cap.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Traffic_Cap.csv,0.25
2025-06-18 11:33,3G_Traffic_Compare.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Traffic_Compare.csv,0.047
2025-06-18 11:33,3G_User_TP_Nation.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_User_TP_Nation.csv,0.328
2025-06-18 11:33,3G_User_TP_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_User_TP_Province.csv,1.718
2025-06-18 11:33,3G_User_TP_Zone.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_User_TP_Zone.csv,1.109
2025-06-18 11:33,3G_Utilization_Nation.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Utilization_Nation.csv,0.328
2025-06-18 11:33,3G_Utilization_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Utilization_Province.csv,0.391
2025-06-18 11:33,3G_Utilization_Region.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Utilization_Region.csv,0.312
2025-06-18 11:33,3G_Utilization_Zone.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Utilization_Zone.csv,0.297
2025-06-18 11:34,4G_carrier_config.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_carrier_config.csv,45.491
2025-06-18 11:34,4G_Check_No_Carrier.sql,c:\Bac.DX\SQLite\DataBase\2025_4G site traffic Utilization.db3,4G_Check_No_Carrier.csv,0.656
2025-06-18 11:34,4G_Physical_Site_by_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_Physical_Site_by_Province.csv,0.031
2025-06-18 11:34,4G_Physical_Site_by_Zone.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_Physical_Site_by_Zone.csv,0.031
2025-06-18 11:35,4G_Site_config.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_Site_config.csv,46.958
2025-06-18 11:35,4G_Traffic_By_Layer.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_Traffic_By_Layer.csv,8.076
2025-06-18 11:35,4G_Traffic_Cap.sql,c:\Bac.DX\SQLite\DataBase\2025_4G site traffic Utilization.db3,4G_Traffic_Cap.csv,0.219
2025-06-18 11:35,4G_Traffic_Compare.sql,c:\Bac.DX\SQLite\DataBase\2025_4G site traffic Utilization.db3,4G_Traffic_Compare.csv,0.062
2025-06-18 11:35,4G_User_TP_Nation.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_User_TP_Nation.csv,1.062
2025-06-18 11:35,4G_User_TP_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_User_TP_Province.csv,1.718
2025-06-18 11:35,4G_User_TP_Zone.sql,c:\Bac.DX\SQLite\DataBase\2025_4G Cell User Throughput.db3,4G_User_TP_Zone.csv,0.812
2025-06-18 11:35,4G_Utilization_Nation.sql,c:\Bac.DX\SQLite\DataBase\2025_4G site traffic Utilization.db3,4G_Utilization_Nation.csv,0.234
2025-06-18 11:35,4G_Utilization_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_4G site traffic Utilization.db3,4G_Utilization_Province.csv,0.266
2025-06-18 11:35,4G_Utilization_Region.sql,c:\Bac.DX\SQLite\DataBase\2025_4G site traffic Utilization.db3,4G_Utilization_Region.csv,0.219
2025-06-18 11:35,4G_Utilization_Zone.sql,c:\Bac.DX\SQLite\DataBase\2025_4G site traffic Utilization.db3,4G_Utilization_Zone.csv,0.203
2025-06-19 09:03,3G_carrier_config.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_carrier_config.csv,0.17
2025-06-19 09:03,3G_Check_No_Carrier.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Check_No_Carrier.csv,0.671
2025-06-19 09:03,3G_CS_Traffic.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_CS_Traffic.csv,4.247
2025-06-19 09:04,3G_Physical_Site_by_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_Physical_Site_by_Province.csv,0.086
2025-06-19 09:04,3G_Physical_Site_by_Zone.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_Physical_Site_by_Zone.csv,0.058
2025-06-19 09:04,3G_Site_config.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_Site_config.csv,0.056
2025-06-19 09:04,3G_Traffic_By_Layer.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_Traffic_By_Layer.csv,0.858
2025-06-19 09:04,3G_Traffic_Cap.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Traffic_Cap.csv,0.272
2025-06-19 09:04,3G_Traffic_Compare.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Traffic_Compare.csv,0.044
2025-06-19 09:04,3G_User_TP_Nation.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_User_TP_Nation.csv,0.302
2025-06-19 09:04,3G_User_TP_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_User_TP_Province.csv,1.862
2025-06-19 09:04,3G_User_TP_Zone.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Cell HS USER TP.db3,3G_User_TP_Zone.csv,1.122
2025-06-19 09:04,3G_Utilization_Nation.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Utilization_Nation.csv,0.286
2025-06-19 09:04,3G_Utilization_Province.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Utilization_Province.csv,0.314
2025-06-19 09:04,3G_Utilization_Region.sql,c:\Bac.DX\SQLite\DataBase\2025_3G Site traffic Utilization.db3,3G_Utilization_Region.csv,0.328
